"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1992",2.222,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1993",2.317,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1994",2.195,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1995",2.243,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1996",2.265,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1997",2.374,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1998",2.727,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1999",2.679,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2000",2.468,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2001",2.569,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2002",2.606,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2003",2.661,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2004",2.611,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2005",2.586,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2006",2.586,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2007",2.642,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2008",2.675,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2009",2.846,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2010",2.826,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2011",2.859,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2012",2.812,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2013",2.846,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2014",2.863,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2015",2.779,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2016",2.766,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2017",2.734,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1980",0.628,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1981",0.553,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1982",0.565,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1983",0.601,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1984",0.549,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1985",0.517,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1986",0.538,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1987",0.578,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1988",0.627,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1989",0.755,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1990",0.897,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1991",0.924,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1992",0.858,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1993",0.732,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1994",0.34,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1995",0.242,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1996",0.814,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1997",0.763,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1998",0.665,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1999",0.724,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2000",0.118,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2001",0.131,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2002",0.15,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2003",0.142,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2004",0.148,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2005",0.156,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2006",0.161,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2007",0.175,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2008",0.136,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2009",0.162,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2010",0.15,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2011",0.17,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2012",0.188,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2013",0.192,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2014",0.189,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2015",0.196,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2016",0.221,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2017",0.217,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1980",0.458,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1981",0.392,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1982",0.38,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1983",0.331,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1984",0.296,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1985",0.255,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1986",0.21,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1987",0.177,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1988",0.162,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1989",0.15,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1990",0.311,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1991",0.296,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1992",0.391,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1993",0.413,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1994",0.401,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1995",0.403,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1996",0.472,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1997",0.455,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1998",0.802,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1999",0.79,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2000",0.942,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2001",0.892,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2002",0.905,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2003",1.053,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2004",1.082,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2005",1.159,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2006",1.181,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2007",1.228,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2008",1.332,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2009",1.487,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2010",1.424,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2011",1.339,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2012",1.304,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2013",1.311,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2014",1.275,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2015",1.237,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2016",1.204,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2017",1.192,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1980",1.69,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1981",1.81,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1982",1.866,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1983",1.762,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1984",1.675,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1985",1.668,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1986",1.669,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1987",1.745,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1988",1.814,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1989",1.779,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1990",1.809,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1991",1.867,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1992",1.923,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1993",2.054,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1994",2.067,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1995",1.965,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1996",2.036,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1997",2.094,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1998",1.945,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1999",1.98,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2000",1.942,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2001",2.008,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2002",2.064,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2003",2.085,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2004",2.008,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2005",1.989,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2006",2.001,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2007",2.188,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2008",2.237,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2009",2.439,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2010",2.33,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2011",2.42,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2012",2.389,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2013",2.333,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2014",2.241,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2015",2.166,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2016",2.102,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2017",2.082,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1980",1.961,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1981",2.423,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1982",2.458,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1983",2.404,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1984",2.343,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1985",2.289,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1986",2.216,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1987",2.167,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1988",2.134,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1989",1.956,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1990",1.431,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1991",1.43,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1992",1.428,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1993",1.469,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1994",1.469,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1995",1.499,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1996",1.543,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1997",1.584,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1998",1.494,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1999",1.493,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2000",1.436,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2001",1.417,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2002",1.427,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2003",1.415,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2004",1.368,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2005",1.353,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2006",1.692,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2007",1.633,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2008",1.6,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2009",1.698,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2010",1.611,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2011",1.56,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2012",1.575,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2013",1.579,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2014",1.568,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2015",1.5,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2016",1.458,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2017",1.421,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2018",1.388,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","1995",0,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","1996",0,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","1997",0.012,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","1998",0.071,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","1999",0.12,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2000",0.143,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2001",0.175,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2002",0.228,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2003",0.284,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2004",0.291,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2005",0.325,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2006",0.315,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2007",0.317,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2008",0.338,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2009",0.384,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2010",0.43,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2011",0.403,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2012",0.421,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2013",0.393,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2014",0.39,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2015",0.44,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2016",0.46,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2017",0.338,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2018",0.317,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2019",0.101,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1990",0.03,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1991",0.036,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1992",0.04,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1993",0.048,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1994",0.049,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1995",0.059,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1996",0.068,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1997",0.079,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1998",0.102,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1999",0.09,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2000",0.102,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2001",0.133,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2002",0.13,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2003",0.151,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2004",0.182,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2005",0.223,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2006",0.473,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2007",0.417,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2008",0.541,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2009",0.649,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2010",0.669,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2011",0.673,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2012",0.833,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2013",1.143,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2014",1.123,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2015",1.127,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2016",1.102,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2017",1.103,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2018",1.202,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1980",3.463,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1981",3.585,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1982",3.393,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1983",3.538,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1984",3.444,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1985",3.655,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1986",3.672,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1987",3.74,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1988",3.75,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1989",3.635,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1990",3.976,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1991",4.337,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1992",4.392,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1993",4.165,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1994",4.088,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1995",3.58,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1996",3.306,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1997",3.084,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1998",3.075,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1999",3.005,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2000",2.775,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2001",2.909,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2002",3.057,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2003",3.111,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2004",3.1,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2005",3.129,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2006",3.217,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2007",3.175,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2008",3.302,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2009",3.481,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2010",3.389,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2011",3.388,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2012",3.513,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2013",3.568,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2014",3.549,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2015",3.467,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2016",3.505,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2017",3.395,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1980",1.485,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1981",1.528,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1982",1.443,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1983",1.428,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1984",1.339,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1985",1.282,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1986",1.343,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1987",1.329,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1988",1.259,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1989",1.425,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1990",1.588,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1991",1.592,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1992",1.639,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1993",1.95,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1994",2.074,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1995",2.107,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1996",2.08,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1997",2.092,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1998",2.35,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1999",2.433,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2000",2.527,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2001",2.6,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2002",2.848,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2003",3.239,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2004",3.18,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2005",3.076,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2006",2.866,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2007",2.685,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2008",3.382,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2009",3.551,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2010",3.296,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2011",2.902,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2012",2.849,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2013",2.723,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2014",2.608,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2015",2.508,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2016",2.34,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2017",2.354,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1980",0.94,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1981",0.918,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1982",0.912,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1983",0.928,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1984",0.912,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1985",0.902,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1986",0.903,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1987",0.912,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1988",0.892,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1989",0.86,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1990",1.002,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1991",1.023,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1992",1.08,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1993",1.177,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1994",1.189,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1995",1.187,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1996",1.217,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1997",1.23,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1998",1.227,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1999",1.207,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","2000",1.158,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","2001",1.171,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","2002",1.239,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","2003",1.238,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","2004",1.197,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","2005",1.197,
